Customer_ID,Total_Spent,Web_Sessions,Engagement_Score,Email_Opens,Click_Through_Rate,Form_Submissions,Subscription_Months,Support_Tickets,Discount_Applied,Last_Login_Days,Price_Category,Market_Segment
CUST-500,7470,97,54,16,7.26,0,23,7,25,20,High,Enterprise
CUST-501,1060,67,84,25,8.19,3,2,4,20,35,Medium,SME
CUST-502,5590,22,66,19,3.81,6,27,11,38,9,Medium,SME
CUST-503,5391,94,97,11,1.41,7,42,11,35,72,High,Enterprise
CUST-504,5934,48,22,29,9.43,0,2,11,32,23,High,Enterprise
CUST-505,6465,38,20,6,4.28,4,26,4,29,63,Medium,Enterprise
CUST-506,666,78,24,1,5.42,3,17,6,36,48,Low,Individual
CUST-507,4626,66,33,2,8.46,4,40,3,22,35,Medium,Enterprise
CUST-508,5778,18,46,16,6.92,7,33,5,9,81,High,SME
CUST-509,8522,99,28,4,7.48,2,9,3,4,23,Medium,Enterprise
CUST-510,1885,52,98,16,2.49,3,43,2,35,22,High,Individual
CUST-511,969,19,34,23,5.64,2,54,6,33,61,Medium,Enterprise
CUST-512,7149,76,61,16,7.11,7,48,7,30,36,Low,Individual
CUST-513,2633,82,96,26,2.67,0,39,3,9,11,Medium,Individual
CUST-514,5511,91,70,16,2.16,7,29,1,18,54,Medium,Enterprise
CUST-515,5251,66,82,1,9.83,0,42,11,31,12,High,SME
CUST-516,6620,44,71,1,5.41,3,55,9,0,22,High,Individual
CUST-517,1384,89,23,27,2.98,3,26,2,4,88,High,Enterprise
CUST-518,4755,84,42,21,9.96,5,35,0,3,29,Medium,Enterprise
CUST-519,3585,86,34,22,9.67,4,50,7,15,16,Low,SME
CUST-520,6596,57,62,4,5.8,5,25,2,23,61,High,Individual
CUST-521,8866,28,48,0,8.89,4,24,11,15,83,High,Individual
CUST-522,9474,30,55,0,2.29,5,13,9,1,88,Medium,Enterprise
CUST-523,2758,93,32,18,3.15,2,58,6,27,85,High,Enterprise
CUST-524,8049,64,51,29,7.15,3,7,9,31,12,Low,SME
CUST-525,2247,45,90,1,8.54,0,57,4,26,58,Low,SME
CUST-526,2947,33,78,20,8.64,4,36,9,19,18,High,Individual
CUST-527,9367,19,47,11,4.34,7,45,4,23,48,High,Individual
CUST-528,389,49,85,25,8.93,4,20,6,11,11,Medium,Enterprise
CUST-529,2934,69,61,5,8.58,0,1,8,34,60,Low,Individual
CUST-530,3205,93,64,22,9.39,5,8,11,32,18,Low,SME
CUST-531,4858,75,81,3,7.96,4,46,4,32,75,High,SME
CUST-532,2099,13,76,22,6.86,6,16,0,36,8,Medium,Enterprise
CUST-533,7934,92,25,10,6.02,2,14,9,11,70,Low,SME
CUST-534,1467,5,47,23,4.04,3,12,9,2,27,Low,SME
CUST-535,1728,12,47,26,9.43,0,51,0,0,77,Medium,SME
CUST-536,3756,92,63,16,9.75,3,23,1,32,51,Medium,SME
CUST-537,4090,67,49,5,3.2,6,15,5,39,82,Low,Enterprise
CUST-538,9038,15,81,23,3.4,4,28,8,9,15,Low,Enterprise
CUST-539,5593,85,94,4,5.11,4,34,7,28,68,Medium,Individual
CUST-540,8992,12,81,19,4.76,7,2,4,12,11,Low,SME
CUST-541,8633,39,20,1,9.95,6,32,0,11,24,High,Individual
CUST-542,7713,39,46,5,2.17,0,23,6,30,51,High,Enterprise
CUST-543,2812,37,81,21,0.67,7,22,4,1,84,Medium,Enterprise
CUST-544,7241,9,96,10,5.19,2,51,5,34,52,Medium,Enterprise
CUST-545,9755,45,22,15,2.2,7,25,6,22,22,Medium,Enterprise
CUST-546,6435,32,89,15,3.98,1,58,2,16,15,High,Enterprise
CUST-547,5686,11,91,0,7.57,0,22,11,25,56,Low,Enterprise
CUST-548,7299,77,46,8,7.35,1,58,9,7,38,High,Enterprise
CUST-549,9870,76,28,27,3.43,6,58,2,28,52,Low,SME
CUST-550,975,16,81,26,5.65,5,22,4,25,41,High,Individual
CUST-551,8426,38,56,5,5.33,1,49,5,9,57,Low,Enterprise
CUST-552,3352,37,70,15,6.55,2,52,8,25,38,High,SME
CUST-553,1785,52,63,28,2.88,7,42,11,33,13,Medium,SME
CUST-554,4143,27,43,2,6.1,5,6,4,6,4,High,Individual
CUST-555,7755,66,98,19,9.8,7,15,0,3,34,Low,Enterprise
CUST-556,3273,92,78,27,5.12,1,54,3,10,86,High,Individual
CUST-557,1221,41,51,26,9.11,7,43,4,28,74,High,Enterprise
CUST-558,4043,48,71,3,4.63,6,37,11,35,17,High,SME
CUST-559,8189,90,81,18,3.83,5,33,9,24,75,Medium,SME
