Employee_ID,Monthly_Salary,Overtime_Hours,Training_Hours,status
EMP-100,8505,27.1,2.0,CRITICAL
EMP-101,11979,5.2,38.2,STABLE
EMP-102,6717,3.9,2.9,STABLE
EMP-103,4686,9.6,23.7,STABLE
EMP-104,6857,14.8,2.6,STABLE
EMP-105,12793,8.8,2.0,STABLE
EMP-106,5381,1.3,4.9,STABLE
EMP-107,8254,15.8,4.3,STABLE
EMP-108,12558,12.7,23.0,STABLE
EMP-109,4228,15.2,20.8,STABLE
EMP-110,11911,2.8,24.6,STABLE
EMP-111,10624,2.2,7.6,STABLE
EMP-112,7199,2.7,20.8,STABLE
EMP-113,8827,11.9,41.2,STABLE
EMP-114,5134,10.6,14.4,STABLE
EMP-115,11211,8.7,3.3,STABLE
EMP-116,12343,17.8,13.2,STABLE
EMP-117,8937,14.8,19.2,STABLE
EMP-118,4733,28.5,27.9,CRITICAL
EMP-119,4194,12.1,24.3,STABLE
EMP-120,10501,3.5,28.1,STABLE
EMP-121,3569,26.4,25.7,CRITICAL
EMP-122,11288,6.9,5.4,STABLE
EMP-123,7256,8.3,20.9,STABLE
EMP-124,5925,4.9,37.1,STABLE
EMP-125,10253,25.0,17.4,CRITICAL
EMP-126,9078,12.8,9.7,STABLE
EMP-127,4559,2.1,9.8,STABLE
EMP-128,11145,23.3,11.8,CRITICAL
EMP-129,5586,3.3,23.8,STABLE
EMP-130,5256,14.2,25.9,STABLE
EMP-131,4084,17.7,40.0,STABLE
EMP-132,12363,3.6,4.3,STABLE
EMP-133,9760,0.6,8.8,STABLE
EMP-134,5859,5.4,4.3,STABLE
EMP-135,12486,0.9,15.3,STABLE
EMP-136,3617,1.9,15.8,STABLE
EMP-137,7332,30.8,19.9,CRITICAL
EMP-138,5089,37.9,19.6,CRITICAL
EMP-139,11127,1.3,31.5,STABLE
EMP-140,7537,15.9,21.7,STABLE
EMP-141,6562,29.5,6.2,CRITICAL
EMP-142,12099,33.6,12.5,CRITICAL
EMP-143,4691,11.6,15.4,STABLE
EMP-144,5936,2.0,22.7,STABLE
EMP-145,11436,2.0,34.1,STABLE
EMP-146,6397,34.7,31.1,CRITICAL
EMP-147,6914,4.4,30.7,STABLE
EMP-148,3657,13.7,8.1,STABLE
EMP-149,13114,28.1,39.4,CRITICAL
EMP-150,8926,26.6,9.3,CRITICAL
EMP-151,6916,12.4,20.3,STABLE
EMP-152,13198,28.6,27.4,CRITICAL
EMP-153,4589,22.2,16.3,CRITICAL
EMP-154,6465,10.8,33.1,STABLE
EMP-155,8647,8.5,30.3,STABLE
EMP-156,10788,8.5,30.4,STABLE
EMP-157,5985,20.5,24.8,CRITICAL
EMP-158,10824,22.6,34.7,CRITICAL
EMP-159,10971,12.5,23.0,STABLE
