id,Month,Quantity,Price,Spend,Clicks,Tenure,Support_Tickets
SLS-2000,2025-01,411,90.67,3461.18,991,5.3,8
SLS-2001,2025-02,176,42.35,934.99,8513,13.7,1
SLS-2002,2025-03,524,46.71,2304.97,7155,4.5,9
SLS-2003,2025-04,206,90.64,5229.69,1213,35.0,6
SLS-2004,2025-05,130,93.03,849.37,2381,18.1,2
SLS-2005,2025-06,633,21.78,2813.61,3161,7.1,9
SLS-2006,2025-07,272,42.91,4608.08,1228,34.3,9
SLS-2007,2025-08,290,53.2,4487.9,5346,28.5,7
SLS-2008,2025-09,450,36.88,6457.85,4199,5.8,4
SLS-2009,2025-10,617,53.09,3076.07,7553,18.0,1
SLS-2010,2025-11,200,54.49,1737.22,5804,10.0,7
SLS-2011,2025-12,511,15.25,5511.62,5340,21.1,5
SLS-2012,2026-01,588,60.13,3921.54,1733,56.7,7
SLS-2013,2026-02,146,17.04,5761.19,7501,17.8,6
SLS-2014,2026-03,435,13.87,3962.71,2953,37.0,7
SLS-2015,2026-04,140,30.11,2655.74,4256,24.5,7
SLS-2016,2026-05,162,25.81,3512.33,4752,53.1,6
SLS-2017,2026-06,643,35.11,3614.72,6078,41.3,6
SLS-2018,2026-07,316,24.53,1821.63,4000,39.9,0
SLS-2019,2026-08,576,80.98,1867.57,4819,1.2,6
SLS-2020,2026-09,627,42.65,4747.56,2256,41.7,8
SLS-2021,2026-10,135,49.9,7032.35,6628,24.5,6
SLS-2022,2026-11,186,51.97,3503.32,3322,5.0,3
SLS-2023,2026-12,531,25.47,3050.4,1061,7.0,9
