ID,Category,Sales_Volume,Price_Point,Ad_Spend,Promotion_Discount,Tenure_Months,Monthly_Charges,Complaints,Support_Calls,Impressions,Clicks,Conversions,Operating_Cost,Month_Index
101,Electronics,150,299,500,0.10,45,75.5,0,1,50000,1200,150,12000,1
102,Fashion,85,45,200,0.20,2,95.0,3,6,80000,4500,400,12500,2
103,Home_Decor,120,89,350,0.15,12,60.0,1,2,30000,900,80,11800,3
104,Electronics,300,599,1200,0.05,60,110.0,0,0,15000,300,25,14000,4
105,Books,50,15,50,0.00,5,85.2,2,4,10000,2000,500,13200,5
106,Fashion,210,120,600,0.25,24,88.0,0,1,45000,3100,210,12800,6
107,Electronics,45,450,150,0.05,3,105.0,4,8,20000,400,30,15500,7
108,Home_Decor,180,95,400,0.10,36,70.0,0,2,35000,1100,95,12200,8
109,Books,65,20,75,0.00,8,45.0,1,3,12000,2200,550,11500,9
110,Electronics,400,650,1500,0.10,72,120.0,0,0,18000,500,40,14500,10
111,Electronics,160,310,520,0.08,42,78.0,1,2,52000,1300,140,11900,1
112,Fashion,90,48,220,0.18,3,92.5,2,5,82000,4600,410,12300,2
113,Home_Decor,115,85,320,0.12,14,62.0,0,1,31000,950,85,11600,3
114,Electronics,280,580,1100,0.05,58,108.5,0,0,14800,310,22,13800,4
115,Books,55,18,60,0.00,6,82.0,1,3,10500,2100,520,13000,5
116,Fashion,225,125,650,0.20,26,85.0,1,2,47000,3200,230,12900,6
117,Electronics,50,440,160,0.00,4,102.0,3,7,21000,420,32,15200,7
118,Home_Decor,175,90,380,0.08,34,72.0,0,1,34000,1050,90,12000,8
119,Books,70,22,80,0.00,9,46.5,2,4,12500,2300,560,11400,9
120,Electronics,420,680,1600,0.12,70,125.0,0,0,19000,530,45,14800,10
121,Electronics,140,285,480,0.12,48,74.0,0,1,49000,1150,135,12200,1
122,Fashion,80,42,190,0.25,1,98.0,4,8,78000,4400,390,12600,2
123,Home_Decor,130,92,360,0.15,11,59.0,2,3,29000,880,78,11900,3
124,Electronics,310,610,1250,0.00,62,112.0,0,0,15500,320,28,14200,4
125,Books,48,14,45,0.00,4,88.0,3,5,98000,1950,480,13400,5
126,Fashion,200,115,580,0.30,22,90.0,0,0,44000,3000,205,12700,6
127,Electronics,40,460,140,0.05,2,108.0,5,9,19000,380,28,15800,7
128,Home_Decor,190,98,420,0.10,38,68.5,0,1,36000,1150,100,12300,8
129,Books,60,19,70,0.00,7,44.0,1,2,11500,2150,540,11600,9
130,Electronics,390,640,1450,0.08,74,118.0,0,0,17500,480,38,14400,10
131,Electronics,155,295,510,0.10,44,76.0,0,1,51000,1250,145,11950,1
132,Fashion,88,46,210,0.20,2,94.0,2,5,81000,4550,405,12400,2
133,Home_Decor,122,88,340,0.14,13,61.0,1,2,30500,920,82,11700,3
134,Electronics,290,590,1150,0.05,59,109.0,0,0,14900,305,24,13900,4
135,Books,52,16,55,0.00,6,84.0,2,3,10200,2050,510,13100,5
136,Fashion,215,122,620,0.22,25,86.5,0,1,46000,3150,220,12850,6
137,Electronics,48,445,155,0.02,4,103.5,4,7,20500,410,31,15350,7
138,Home_Decor,178,92,390,0.09,35,71.0,0,1,34500,1080,92,12100,8
139,Books,68,21,78,0.00,8,45.5,1,3,12200,2250,555,11450,9
140,Electronics,410,665,1520,0.11,71,122.5,0,0,18500,515,42,14650,10
141,Electronics,145,290,490,0.11,46,75.0,1,1,49500,1180,138,12100,1
142,Fashion,82,44,195,0.22,2,96.5,3,7,79000,4450,395,12550,2
143,Home_Decor,125,90,355,0.15,12,60.0,1,3,29500,890,79,11850,3
144,Electronics,305,600,1220,0.02,61,111.0,0,0,15200,315,26,14100,4
145,Books,50,15,50,0.00,5,86.0,2,4,9900,2000,500,13300,5
146,Fashion,208,118,590,0.28,23,89.0,0,0,44500,3050,208,12750,6
147,Electronics,42,455,145,0.05,3,106.5,5,8,19500,390,29,15650,7
148,Home_Decor,185,96,410,0.10,37,69.0,0,1,35500,1120,98,12250,8
149,Books,62,20,72,0.00,7,44.5,1,2,11700,2180,545,11550,9
150,Electronics,400,650,1500,0.10,72,120.0,0,0,18000,500,40,14500,10
